timestamp,length,src_ip,dst_ip,protocol,src_port,dst_port
2025-04-22 19:17:29.302103,86,192.168.29.190,192.168.29.255,UDP,46655,5775
2025-04-22 19:17:29.303130,54,100.28.198.72,192.168.29.166,TCP,443,50627
2025-04-22 19:17:29.463406,74,,,TCP,50599,80
2025-04-22 19:17:29.813703,54,100.28.198.72,192.168.29.166,TCP,443,50625
2025-04-22 19:17:31.350033,86,192.168.29.190,192.168.29.255,UDP,46655,5775
2025-04-22 19:17:32.105185,112,,,UDP,51127,53
2025-04-22 19:17:32.109076,112,,,UDP,64453,53
2025-04-22 19:17:32.111195,112,,,UDP,58301,53
2025-04-22 19:17:32.113087,199,,,UDP,53,51127
2025-04-22 19:17:32.115368,240,,,UDP,53,64453
